name,image_url,recipe_keys,recipe_wpp,recipe_cal,recipe_protein,recipe_carbs,recipe_fat,recipe_time,recipe_ratings,num_of_rating,recipe_share_count,recipe_summary
High-Protein Enchilada Scrambled Eggs,https://www.skinnytaste.com/wp-content/uploads/2022/11/High-Protein-Enchilada-Scramble-4-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",5,270,25.5,12,14,7 mins,5,8,8390,"Whip up these 5-minute Enchilada Scrambled Eggs, they're a high-protein, high-fiber breakfast that’s quick and delicious! Plus, they’re low-carb, gluten-free, and vegetarian."
Creamy Roasted Acorn Squash Soup (Vegan and Dairy Free),https://www.skinnytaste.com/wp-content/uploads/2022/11/Roasted-Vegan-Acorn-Soup-9-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",4,180,4.5,33.5,5,1 hr 15 mins,5,5,1023,This healthy roasted acorn squash soup recipe made creamy with cashews – a great holiday side or vegetarian main – is dairy-free and vegan and absolutely delicious.
Chicken Parmesan Rolls,https://www.skinnytaste.com/wp-content/uploads/2020/11/Chicken-Parm-Rolls-9-260x390.jpg,"['Kid Friendly', 'Meal Prep Recipes', 'Under 30 Minutes']",6,259,27.5,28,4.5,45 mins,4.68,107,34423,"These Chicken Parmesan Rolls (also know as chicken rolls) are wrapped in my easy pizza dough with marinara and mozzarella cheese, so good!"
Lightened Up Green Bean Casserole,https://www.skinnytaste.com/wp-content/uploads/2012/11/Lightened-Up-Green-Bean-Casserole-6-260x390.jpg,"['Kid Friendly', 'Vegetarian Meals']",4,160,7,22,6,1 hr,4.69,19,6020,"A lightened up, healthier version of the classic green bean casserole made from scratch, no canned soup."
Dairy-Free Heavy Cream,https://www.skinnytaste.com/wp-content/uploads/2022/11/Dairy-Free-Heavy-Cream-8-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Vegetarian Meals']",3,86,3,4.5,7,4 hrs 5 mins,5,4,735,"This Dairy-Free Heavy Cream recipe, made with whole raw cashews, lemon, salt and vinegar is the perfect replacement for cream in soups, sauces and more!"
Garlic-Ginger Chicken Stir-Fry,https://www.skinnytaste.com/wp-content/uploads/2022/11/Garlic-Ginger-Chicken-Stir-Fry-6-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Low Carb']",7,450,45.5,19.5,21,35 mins,4.84,18,5741,"Garlic-Ginger Chicken Stir-Fry is a quick and easy stir-fry with chicken breast, bok choy, red onion, peanuts and basil."
"Sweet Potato Soup with Sausage (Slow Cooker, Instant Pot, Stove)",https://www.skinnytaste.com/wp-content/uploads/2022/11/Slow-Cooker-Creamy-Sausage-Kale-Sweet-Potato-Soup-10-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Pressure Cooker Recipes', 'Slow Cooker Recipes', 'Whole30 Recipes']",5,265,23.5,23,8.5,6 hrs 10 mins,4.97,33,4513,"This creamy, Sweet Potato Soup with Sausage and Kale is a hearty, gluten-free, dairy-free soup you’ll want to add to your soup rotation! Slow Cooker, Instant Pot or Stove Top directions!"
Everything Bagel Pigs in a Blanket,https://www.skinnytaste.com/wp-content/uploads/2022/11/Mini-Bagel-Dogs-8-260x390.jpg,['Kid Friendly'],3,160,12,14,5,55 mins,5,6,2874,"Mini Bagel Dogs, or pigs in a blanket, make a great game day appetizer or kid-friendly after- school snack!"
Garlic Butter Mushrooms,https://www.skinnytaste.com/wp-content/uploads/2022/11/Garlic-Butter-Mushrooms-8-260x390.jpg,"['Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",4,111,4,5,10,15 mins,4.91,11,6619,"These 15-minute, umami-loaded Garlic Butter Mushrooms are a low-carb, low-calorie side dish that pairs well with just about anything."
"Healing Turmeric Chicken Noodle Soup (GF, DF)",https://www.skinnytaste.com/wp-content/uploads/2022/10/Turmeric-Chicken-Noodle-Soup-9-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly']",9,386,27.5,56,3.5,1 hr 35 mins,4.95,18,6841,"This healthy bowl of Turmeric Chicken Noodle Soup is a delicious, anti-inflammatory soup loaded with vegetables, chicken, and rice noodles."
