name,image_url,recipe_keys,recipe_wpp,recipe_cal,recipe_protein,recipe_carbs,recipe_fat,recipe_time,recipe_ratings,num_of_rating,recipe_share_count,recipe_summary
Mango Coconut Chia Pudding,https://www.skinnytaste.com/wp-content/uploads/2012/06/Mango-Coconut-Chia-Pudding-6-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",5,227,7,22,13,5 hrs 5 mins,5,45,9577,"This Mango Coconut Chia Pudding is made with coconut milk, almond milk, chia seeds, shredded coconut and mango."
Grilled Chicken Chickpea Salad,https://www.skinnytaste.com/wp-content/uploads/2022/05/Grilled-Chicken-Feta-Chickpea-Salad-6-260x390.jpg,"['Gluten Free', 'Meal Prep Recipes', 'Under 30 Minutes']",6,462,34,41,19.5,5 mins,5,12,3511,"Grilled Chicken Chickpea Salad is a fresh and simple high-protein lunch that can be eaten cold on the go at work, the beach, or anywhere else you’re headed this summer."
Grilled Tuna over Arugula with Lemon Vinaigrette,https://www.skinnytaste.com/wp-content/uploads/2011/06/Grilled-Tuna_-5-260x390.jpg,"['Keto Recipes', 'Low Carb', 'Under 30 Minutes']",1,298,35.5,4,15.5,10 mins,4.75,4,1397,"Grilled Tuna over Arugula with Lemon Vinaigrette is a light summer meal made with a few simple ingredients, ready in under 10 minutes."
Watermelon Arugula and Feta Salad,https://www.skinnytaste.com/wp-content/uploads/2011/07/Watermelon-and-Feta-Salad-6-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",5,157.5,4,11,11.5,10 mins,5,10,4839,"Watermelon Arugula and Feta Salad is a refreshing summer salad, great with anything you're grilling!"
Berry Cottage Cheese Breakfast Bowl,https://www.skinnytaste.com/wp-content/uploads/2022/06/Very-Berry-Cottage-Cheese-Bowl-10-260x390.jpg,"['Gluten Free', 'Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",4,232,19,20.5,9.5,5 mins,5,15,2729,This high-protein Berry Cottage Cheese Breakfast Bowl is a great way to start the day!
Chili-Lime Air Fryer Salmon,https://www.skinnytaste.com/wp-content/uploads/2022/05/Chili-_-Lime-Air-Fryer-Salmon-6-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Gluten Free', 'Keto Recipes', 'Low Carb', 'Under 30 Minutes']",0,262,37.5,0.5,12.5,15 mins,4.97,28,7856,This Chili-Lime Salmon is seasoned with a blend of Mexican spices for maximum flavor and cooks in the air fryer in under 10 minutes.
Tuna Poke Salad,https://www.skinnytaste.com/wp-content/uploads/2022/05/Poke-Salad-10-260x390.jpg,"['Dairy Free', 'Keto Recipes', 'Low Carb', 'Paleo', 'Under 30 Minutes']",5,404,36,16,23,15 mins,5,4,3402,"This high-protein Tuna Poke Salad with Wasabi-Soy Vinaigrette is made with sushi-grade tuna, avocado, edamame and cucumbers."
Arugula Pasta Salad with Chickpeas and Sun Dried Tomatoes (no mayo),https://www.skinnytaste.com/wp-content/uploads/2012/02/Penne-Arugula-Salad-with-Sun-Dried-Tomatoes-4-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",7,280,11,43.5,9,15 mins,5,18,14188,"With spicy arugula, canned chickpeas, sun dried tomatoes, shaved Parmesan and balsamic vinegar, this pasta salad is fresh and delicious and made with no mayo."
Honey Sriracha Chicken and Broccoli Meal Prep Bowls,https://www.skinnytaste.com/wp-content/uploads/2019/05/Honey-Sriracha-Chicken-and-Broccoli-Meal-Prep-Bowls-10-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Gluten Free', 'Meal Prep Recipes', 'Under 30 Minutes']",7,428,44,41,9.5,30 mins,4.67,60,58799,"This easy meal-prep honey-sriracha chicken dish, which can also be served as a main dish, is made on a sheet pan and comes together quick!"
Greek Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2019/06/Greek-Pasta-Salad-6-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",5,176,5,24,7,30 mins,4.80,60,41940,"This Greek Pasta Salad is light and fresh, loaded with garden tomatoes, bell peppers and cucumbers tossed in a homemade Greek dressing with Kalamata olives and Feta cheese. Perfect for summer parties or potlucks!"
Sous Vide Chicken Breast and a Cilantro Lime Chicken Avocado Salad,https://www.skinnytaste.com/wp-content/uploads/2022/04/Sous-Vide-Chicken-14-1-260x390.jpg,"['Dairy Free', 'Low Carb', 'Meal Prep Recipes', 'Whole30 Recipes']",4,329,25,7.5,22.5,2 hrs 30 mins,4.58,7,3677,"This zesty Sous Vide Chicken Salad is fresh and delicious, made with the juiciest chicken breast, avocados, lime juice, and cilantro – and no mayo!"
Instant Pot Baked Oatmeal Bars,https://www.skinnytaste.com/wp-content/uploads/2022/05/Instant-Pot-Banana-Bread-Oatmeal-Bars-9-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Meal Prep Recipes', 'Pressure Cooker Recipes', 'Vegetarian Meals']",5,266,9,45,6.5,1 hr,4.86,21,3649,"Banana bread oatmeal in the Instant Pot? Yes! With this Instant Pot Baked Oatmeal Bars recipe, you can make oatmeal breakfast bars with just a few minutes of hands-on time. They're a delicious breakfast/brunch or dessert, and perfect for meal prep!"
"Seared Scallop Salad with Grapefruit, Arugula and Spinach",https://www.skinnytaste.com/wp-content/uploads/2011/03/Seared-Scallops-Grapefruit-Arugula-and-Spinach-Salad-4-1-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Keto Recipes', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",3,217,19,16.5,10,20 mins,5,7,1775,Seared scallops with pink grapefruit are wonderful over greens with a champagne vinaigrette as a light salad for lunch or dinner!
Burst Tomato Cottage Cheese Caprese Bowl,https://www.skinnytaste.com/wp-content/uploads/2022/05/Burst-Tomato-Cottage-Cheese-Caprese-Bowl-9-260x390.jpg,"['Air Fryer Recipes', 'Meal Prep Recipes']",6,245,20.5,13,12,7 mins,4.93,38,4397,"Burst Tomato Cottage Cheese Caprese Bowl is an easy, savory, high protein lunch!"
Blueberry Frozen Yogurt,https://www.skinnytaste.com/wp-content/uploads/2022/05/Blueberry-Frozen-Yogurt-8-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",2,76,2.5,36,2.5,1 d 20 mins,4.89,9,2542,"Blueberry Frozen Yogurt, made with only five ingredients, including fresh blueberries, is slightly tart and delicious! Make this in your ice cream maker or a Ninja Creami."
Buffalo Chicken Salad,https://www.skinnytaste.com/wp-content/uploads/2022/05/Buffalo-Chicken-Salad-4-260x390.jpg,"['Dairy Free', 'Meal Prep Recipes']",7,359,30,4,24,5 mins,4.55,20,5795,This easy Buffalo Chicken Salad recipe can be made ahead for lunches throughout the week.
Coconut Chicken Salad with Warm Honey Mustard Vinaigrette,https://www.skinnytaste.com/wp-content/uploads/2011/03/Coconut-Chicken-Salad-6-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",8,397,27,32.5,11,40 mins,4.88,41,18627,"Warm oven-fried coconut chicken tenders over a bed of baby greens, cucumber, tomato, shredded carrots topped with a hot honey mustard vinaigrette. "
Grilled Vegetable Orzo Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2021/05/Farmer_s-Market-Orzo-Salad-8-260x390.jpg,"['Dairy Free', 'Kid Friendly', 'Meal Prep Recipes', 'Vegetarian Meals']",7,267,6.5,39.5,9,25 mins,4.90,48,59423,"Grilled vegetables from the farmers market shine in this orzo pasta salad, perfect as a side dish or meatless main."
Juicy Turkey Burgers with Zucchini,https://www.skinnytaste.com/wp-content/uploads/2015/05/TurkeyZucchiniBurger-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Low Carb']",4,161,18,4.5,7,15 mins,4.93,112,18488,My trick to making the juiciest turkey burgers EVER is by adding grated zucchini! A huge bonus if you want your kids to eat more veggies – they'll never know!
Italian Turkey Meatballs,https://www.skinnytaste.com/wp-content/uploads/2008/12/Skinny-Italian-Turkey-Meatballs-9-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Kid Friendly']",5,280,25.5,25,11.5,35 mins,4.92,50,5945,"We love these juicy, Italian ground turkey meatballs in homemade tomato sauce. Serve them over your favorite pasta, pizza or sandwich! "
"Grilled Chicken Tacos with Lettuce Slaw, Avocado and Cotija",https://www.skinnytaste.com/wp-content/uploads/2015/04/Grilled-Chicken-Tacos-1-5-260x390.jpg,"['Kid Friendly', 'Under 30 Minutes']",8,330,33,22,16,1 hr 25 mins,5,8,3946,"Grilled chicken tacos piled high with a lettuce-tomato slaw, avocado, and Cotija cheese all served on a charred tortilla. A quick weeknight dinner solution!"
Lemon Asparagus Couscous Salad with Tomatoes,https://www.skinnytaste.com/wp-content/uploads/2013/05/Lemon-Asparagus-Couscous-Salad-with-Tomatoes-5-260x390.jpg,"['Dairy Free', 'Under 30 Minutes', 'Vegetarian Meals']",4,170,6.5,30,4,30 mins,4.83,29,9555,"Lemon Asparagus Couscous Salad with Tomatoes makes a vibrant Spring pasta salad, perfect to bring to a potluck or to serve as a BBQ side dish."
Latin Yellow Rice,https://www.skinnytaste.com/wp-content/uploads/2008/10/Latin-Yellow-Rice-6-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",6,199,4,39,2.5,30 mins,4.96,44,8865,We are big rice eaters in my house and one of my specialties is Latin yellow rice! This is a delicious side dish for any chicken or meat dish!
Slow Cooker Chicken Tacos,https://www.skinnytaste.com/wp-content/uploads/2020/04/Slow-Cooker-Chicken-Tacos-6-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Slow Cooker Recipes']",6,474,45.5,44.5,13.5,4 hrs 2 mins,4.97,27,14482,"These easy Slow Cooker Chicken Tacos made in the crock pot with chicken breast, salsa, and spices are on repeat in my house!"
Spicy Canned Salmon Rice Bowl,https://www.skinnytaste.com/wp-content/uploads/2022/04/Spicy-Canned-Salmon-Salad-Bowl-8-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Meal Prep Recipes', 'Under 30 Minutes']",6,389,25,39,14,5 mins,4.86,55,14396,"This quick and easy Sushi-inspired Spicy Canned Salmon Rice Bowl makes a great budget-friendly, high protein lunch!"
Avocado Quinoa Salad,https://www.skinnytaste.com/wp-content/uploads/2022/04/Avocado-Quinoa-Salad-3-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",9,443,11,55,23,25 mins,4.87,22,7533,"Avocado Quinoa Salad is fresh and flavorful, made with cucumbers, tomato, red onion, cilantro and lime juice. A great plant-based lunch or side dish!"
Swiss Chard Frittata,https://www.skinnytaste.com/wp-content/uploads/2012/02/Swiss-Chard-Frittata-8-260x390.jpg,"['Gluten Free', 'Low Carb', 'Vegetarian Meals']",1,139,12,13,5.5,40 mins,4.89,9,2685,"Swiss Chard Frittata is made with sweet caramelized onions, Swiss chard, eggs and cheese, perfect for breakfast or brunch."
Salmon Tikka Masala,https://www.skinnytaste.com/wp-content/uploads/2022/04/Salmon-Tikka-Masala-8-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",2,283,30,8.5,14,45 mins,4.94,15,3815,"Salmon Tikka Masala is a delicious Indian-inspired dish in a creamy tomato based sauce made with coconut milk and spices, perfect served with naan, roti, or over rice."
"Warm Salad with Artichoke Hearts, Roasted Peppers, Mozzarella",https://www.skinnytaste.com/wp-content/uploads/2022/04/Warm-Salad-with-Artichoke-Hearts-Roasted-Peppers-and-Mozzarella-9-260x390.jpg,"['Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",10,339,14.5,23,22,10 mins,5,12,5123,"This Warm Salad with sauteed Artichoke Hearts, Roasted Peppers, and fresh Mozzarella with balsamic is served over cold, crunchy romaine lettuce. So simple and delicious!"
Air Fryer Empanadas,https://www.skinnytaste.com/wp-content/uploads/2017/09/Air-Fryer-Beef-Empanadas-8-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Kid Friendly', 'Under 30 Minutes']",6,183,11,22,5,30 mins,4.82,32,29818,These easy beef empanadas made with my homemade beef picadillo are so easy and delicious made in the air fryer!
"Instant Pot Risotto with Prosciutto, Peas, and Herbs",https://www.skinnytaste.com/wp-content/uploads/2022/04/Instant-Pot-Prosciutto-Pea-and-Herb-Risotto-8-1-260x390.jpg,"['Gluten Free', 'Pressure Cooker Recipes', 'Under 30 Minutes']",10,329,14,46.5,8,20 mins,4.71,24,3602,"This Instant Pot Risotto recipe is the quickest, easiest way to make risotto. It ends up perfectly creamy every time and it's ready in just 20 minutes."
"Brown Sugar Baked Beans (Instant Pot, Slow Cooker or Oven)",https://www.skinnytaste.com/wp-content/uploads/2018/04/Instant-Pot-Brown-Sugar-Baked-Beans-3-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Pressure Cooker Recipes', 'Slow Cooker Recipes', 'Vegetarian Meals']",3,156,7.5,30,1,35 mins,4.79,55,38780,"Instant Pot Brown Sugar Baked Beans are a quick and easy summer side dish thanks to the instant pot with all the hearty, filling, baked bean flavors you love."
Chocolate Frozen Yogurt in the Ninja™ CREAMi®,https://www.skinnytaste.com/wp-content/uploads/2022/04/Chocolate-Frozen-Yogurt-17-260x390.jpg,"['Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Low Carb', 'Vegetarian Meals']",4,88,4,20.5,3.5,1 d 15 mins,5,8,4374,"Whip up delicious Chocolate Frozen Yogurt from scratch any night of the week! Simply prep your base, freeze overnight, process, and enjoy!"
Lemon Cheesecake Yogurt Cups,https://www.skinnytaste.com/wp-content/uploads/2011/05/Lemon-Cheesecake-Yogurt-Cups-8-260x390.jpg,"['Kid Friendly', 'Vegetarian Meals']",5,108,3.5,12,4.5,35 mins,4.60,10,5490,"These lemon cheesecake cups are made with cream cheese, Greek yogurt and fresh berries. The ""crust"" is vanilla wafer cookies, so easy to make! "
Blackened Shrimp and Grits,https://www.skinnytaste.com/wp-content/uploads/2022/04/Blackened-Shrimp-with-Cheesy-Grits-9-260x390.jpg,"['Gluten Free', 'Kid Friendly']",7,349,32.5,35.5,8,55 mins,4.92,75,15359,"The grits in this Blackened Shrimp and Grits recipe is creamy and cheesy, inspired by my trip to Florida's Gulf Coast."
Banana Nut Pancakes,https://www.skinnytaste.com/wp-content/uploads/2010/09/BANANA-NUT-PANCAKES-19-of-15-260x390.jpg,"['Kid Friendly', 'Meal Prep Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",3,146,7,22,4,20 mins,4.92,25,3023,"Calling all banana lovers to these low fat, whole wheat banana nut pancakes, rich in potassium, fiber and flavor – tastes like banana nut bread in a pancake!"
"Fun in the Sun at Anna Maria Island, Florida",https://www.skinnytaste.com/wp-content/uploads/2022/04/anna-maria-5-260x390.jpg,[],,,,,,,0,0,301,
Air Fryer Steak,https://www.skinnytaste.com/wp-content/uploads/2022/03/Air-Fryer-Steak-6-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",4,221,39.5,0.5,7,15 mins,4.71,24,7204,Make perfect Air Fryer Steak that is seared on the outside and juicy on the inside. Air frying steak is quick and easy with no splatter or mess in the kitchen! 
Peanut Butter Breakfast Oatmeal Bowl,https://www.skinnytaste.com/wp-content/uploads/2022/03/Peanut-Butter-Breakfast-Oatmeal-Bowl-8-260x390.jpg,"['Dairy Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",6,389,11,60,15,7 mins,5,17,11061,"Peanut Butter Breakfast Oatmeal Bowl is a healthy breakfast, loaded with fiber and protein, and sweetened naturally with fruit."
Greek Turkey Meatballs,https://www.skinnytaste.com/wp-content/uploads/2010/08/Greek-Turkey-Meatballs-9-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Meal Prep Recipes', 'Under 30 Minutes']",7,254,27,13.5,11,25 mins,4.81,31,11748,"Greek Turkey Meatballs slathered with Tzatziki sauce, great over rice, with chickpea salad or served as an appetizers. Also great for make-ahead meal prep lunch."
Blackened Fish with Key Lime Tartar,https://www.skinnytaste.com/wp-content/uploads/2022/03/Blackened-Fish-with-Key-Lime-Tartar-8-260x390.jpg,"['Air Fryer Recipes', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",7,374,36.5,39,7.5,20 mins,4.94,30,10912,"Blackened Fish with Key Lime Tartar Sauce is ridiculously delicious, inspired by my vacation to the Florida Keys. Make it in the oven or air fryer!"
BBQ Chicken Salad,https://www.skinnytaste.com/wp-content/uploads/2015/08/BBQ-Chicken-Salad-6-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Meal Prep Recipes', 'Under 30 Minutes']",2,241,30,22,5,15 mins,4.88,8,9880,"This BBQ Chicken Salad is easy, delicious and takes less than 15 minutes to make – the perfect warm salad bowl!"
Roasted Strawberry Banana Bread,https://www.skinnytaste.com/wp-content/uploads/2013/06/Strawberry-Banana-Bread-6-260x390.jpg,"['Kid Friendly', 'Vegetarian Meals']",4,88,2,19,2,1 hr 15 mins,4.79,46,14155,"Roasted Strawberry Banana Bread is moist and delicious, made with ripe bananas and roasted strawberries, which brings out the sweetness of the berries."
Spinach Artichoke Lasagna Roll-ups,https://www.skinnytaste.com/wp-content/uploads/2022/03/Spinach-and-Artichoke-Lasagna-Roll-Ups-10-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Meal Prep Recipes', 'Vegetarian Meals']",7,250,15,48,9,1 hr 15 mins,4.97,32,10362,Go meatless with these tasty Spinach Artichoke Lasagna Roll-ups! They’re much faster to make and bake than a traditional lasagna. 
Ginger Scallion Fish,https://www.skinnytaste.com/wp-content/uploads/2022/03/Ginger-Scallion-Fish-5-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Keto Recipes', 'Low Carb', 'Paleo', 'Under 30 Minutes', 'Whole30 Recipes']",3,229,28,0.5,12,15 mins,4.72,14,3159,"A simple fish, flavorful recipe made with flaky white Fish with Ginger Scallion Sauce – ready in 15 minutes."
Air Fryer Chickpeas,https://www.skinnytaste.com/wp-content/uploads/2022/03/Air-Fryer-Chickpeas-8-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",0,196,10,32.5,3.5,20 mins,5,24,12506,"Crispy Air Fryer Chickpeas are a healthy, high fiber snack or salad topper! So quick and easy to make in the air fryer."
Corned Beef Veggie Hash,https://www.skinnytaste.com/wp-content/uploads/2022/03/JX0A9494-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Under 30 Minutes']",4,300,14.5,26,16,25 mins,5,3,2031,I love Corned Beef Veggie Hash with eggs for breakfast or brunch. Adding chopped veggies makes it even healthier!
Mushroom Risotto,https://www.skinnytaste.com/wp-content/uploads/2009/10/Mushroom-Risotto_1-4-260x390.jpg,"['Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",11,333,11,52,5.5,30 mins,4.86,27,6661,"Mushroom Risotto is creamy Italian rice dish made with Arborio rice and loaded with mushrooms. It takes time to cook, but so worth the wait!"
High-Protein Scrambled Eggs with Cottage Cheese,https://www.skinnytaste.com/wp-content/uploads/2022/03/High-Protein-Scrambled-Eggs-9-260x390.jpg,"['Keto Recipes', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",1,173,17.5,1.5,10.5,6 mins,4.84,93,88070,Add some cottage cheese to your scrambled eggs for an easy high-protein breakfast. 
Sloppy Joe Recipe,https://www.skinnytaste.com/wp-content/uploads/2010/10/Skinny-Sloppy-Joe_s-9-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Meal Prep Recipes', 'Under 30 Minutes']",4,122,13.7,9.9,3.7,30 mins,4.79,71,10903,"This healthy Sloppy Joe recipe is family-friendly, made with ground sirloin beef and some minced veggies – great for those picky eaters!"
Tuna Croquettes (Baked or Air Fryer),https://www.skinnytaste.com/wp-content/uploads/2022/03/Tuna-Croquettes-8-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Gluten Free', 'Kid Friendly', 'Meal Prep Recipes', 'Under 30 Minutes']",4,215,22.5,21.5,3.5,1 hr,4.92,23,5392,"Tuna Croquettes are budget-friendly, made with pantry staple canned tuna, potato, and dill that's breaded and baked in the oven or air fryer."
Ground Turkey Taco Skillet,https://www.skinnytaste.com/wp-content/uploads/2022/03/Turkey-Taco-Skillet-6-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",11,503,37,43.5,23.5,30 mins,4.97,32,10129,"Turkey Taco Skillet, an easy one-pan weeknight dinner using ground turkey, corn, pinto beans and salsa topped with tortilla chips and cheese."
Enchilada Turkey Meatloaf,https://www.skinnytaste.com/wp-content/uploads/2022/03/Enchilada-Turkey-Meatloaf-5-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Kid Friendly']",6,268,26,12,13,1 hr 15 mins,4.96,69,17172,"If you love turkey meatloaf and enchiladas, you'll love this Enchilada Turkey Meatloaf, a fun twist on the weeknight classic."
Homemade Italian Turkey Sausage or Chicken Sausage,https://www.skinnytaste.com/wp-content/uploads/2010/01/Homemade-Turkey-Sausage-6-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Low Carb', 'Meal Prep Recipes', 'Under 30 Minutes', 'Whole30 Recipes']",5,129.4,16.7,2.2,6.1,,5,10,2894,"Although you can usually find Italian Turkey Sausage or Chicken Sausage in most supermarkets, after many requests I created this homemade version."
Escarole and Chickpea Soup with Garlic Toast,https://www.skinnytaste.com/wp-content/uploads/2022/02/Garlicky-Escarole-and-Chickpea-Soup-with-Garlic-Toast-5-260x390.jpg,"['Freezer Meals', 'Under 30 Minutes', 'Vegetarian Meals']",3,222,10.5,38,4,25 mins,5,4,2355,"If you're looking for a healthy and filling vegetarian soup that's quick, cheap and easy, this Escarole and Chickpea Soup is it."
Cajun Fried Rice,https://www.skinnytaste.com/wp-content/uploads/2022/02/Cajun-Fried-Rice-7-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",10,501,37.5,46.5,17.5,30 mins,5,15,5135,"Cajun Fried Rice is a fun take on fried rice with all the familiar comforts of the classic takeout dish, plus the addictive flavors of Cajun cuisine."
Peanut Butter Oatmeal Protein Cookies,https://www.skinnytaste.com/wp-content/uploads/2022/02/Peanut-Butter-Banana-Oat-Breakfast-Cookies-8-1-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",7,304,12,39,14.5,30 mins,4.72,53,14066,Peanut Butter Banana Oat Protein Cookies
Meal Prep Breakfast Taco Scramble,https://www.skinnytaste.com/wp-content/uploads/2018/02/meal-prep-breakfast-taco-1-2-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Meal Prep Recipes', 'Whole30 Recipes']",5,450,46,24.5,19,1 hr,4.90,65,45845,"Breakfast lovers, jazz up your mornings with this Meal Prep Breakfast Taco Scramble, made with potatoes, turkey taco meat, scrambled eggs and salsa (cheese is optional!) perfect to make ahead for breakfast for the week!"
Easiest Salsa Verde Chicken (Slow cooker or Instant Pot),https://www.skinnytaste.com/wp-content/uploads/2013/04/Crockpot-Salsa-Verde-Chicken-5-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Low Carb', 'Paleo', 'Pressure Cooker Recipes', 'Slow Cooker Recipes', 'Whole30 Recipes']",0,145,26,5,2,2 hrs 5 mins,4.84,43,18889,"This is the easiest Salsa Verde Chicken recipe made in the slow cooker or Instant Pot, perfect for tacos, tostadas, bowls, and more!"
Lobster Bisque,https://www.skinnytaste.com/wp-content/uploads/2022/02/Healthy-Lobster-Bisque-9-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Kid Friendly']",5,203,14,17,6,1 hr 5 mins,4.72,25,6973,"If you love lobster bisque, you'll love this lighter, healthier version made with no cream, it's creamy from pureeing the vegetable base."
Brothy Lima Beans and Greens (Stove or Instant Pot),https://www.skinnytaste.com/wp-content/uploads/2022/02/Brothy-Beans-and-Greens-7-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Meal Prep Recipes', 'Pressure Cooker Recipes']",2,299,19.5,44,6.5,1 hr 15 mins,4.73,18,2303,"Somewhere between a thick stew and soup, these Brothy Lima Beans and Greens are hearty comfort food and budget friendly. Stove and Instant Pot."
Food Cart-Style Chicken Salad with White Sauce,https://www.skinnytaste.com/wp-content/uploads/2019/01/Street-Cart-Style-Chicken-Salad-with-White-Sauce-8-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Low Carb', 'Meal Prep Recipes']",8,345,37.5,13,16,40 mins,4.95,192,36024,Halal Food Cart inspired chicken served over a big salad of lettuce and tomatoes drizzled with a yummy white sauce.
Chicken Breast with Hot Cherry Peppers,https://www.skinnytaste.com/wp-content/uploads/2022/02/Chicken-with-Hot-Cherry-Peppers-3-260x390.jpg,"['Dairy Free', 'Under 30 Minutes']",3,347,44,12.5,12,45 mins,4.98,34,7217,"This spicy chicken breast recipe gets its heat from the Hot Cherry Peppers that cook in a simple sauce of white wine, chicken broth, and garlic."
3-Ingredient Strawberries Romanoff,https://www.skinnytaste.com/wp-content/uploads/2019/04/Skinny-Strawberries-Romanoff-7-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",3,79,1,15,3,5 mins,4.93,14,4638,"Strawberries Romanoff – a quick and easy 3-ingredient dessert, delicious and perfect for any night of the week!"
Air Fryer Baked Sweet Potato,https://www.skinnytaste.com/wp-content/uploads/2022/02/Air-Fryer-Baked-Sweet-Potato-5-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals', 'Whole30 Recipes']",4,146,2.5,34,0.5,46 mins,5,44,5931,"Perfectly baked sweet potatoes cooked in the air fryer in less time than the oven, no pre-heating!"
Roasted Sweet Potato Black Bean Bowls,https://www.skinnytaste.com/wp-content/uploads/2022/02/Roasted-Sweet-Potato-and-Chipotle-Black-Bean-Bowls-8-2-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Meal Prep Recipes', 'Vegetarian Meals']",11,585,20,96,15.5,1 hr 15 mins,4.95,59,26623,"These Roasted Sweet Potato and Chipotle Black Bean Bowls are a filling vegetarian lunch or dinner, perfect for meal prep."
Crock Pot Italian Sloppy Joes,https://www.skinnytaste.com/wp-content/uploads/2013/01/Crockpot-Italian-Sloppy-Joe-7-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Slow Cooker Recipes']",10,361,24,38.5,13,4 hrs 10 mins,4.95,19,6118,"Crock Pot Italian Sloppy Joes made with Italian chicken or turkey sausage, tomatoes, peppers and onions made in the slow cooker for an easy weeknight meal."
Mini Bell Pepper Loaded Turkey “Nachos”,https://www.skinnytaste.com/wp-content/uploads/2017/02/Mini-Bell-Pepper-Loaded-Turkey-“Nachos-1-3-260x390.jpg,"['Gluten Free', 'Keto Recipes', 'Low Carb', 'Under 30 Minutes']",6,187,18,6.5,11,40 mins,4.89,45,34899,"Loaded mini bell pepper nachos – game changer!! These low-carb nachos are loaded with turkey taco meat, cheese and all your favorite nacho toppings!"
