website,airline,flight_time,num_of_stops,stops,total_flight_duration,source_to_dest,carry_on_bag,checked_bag,price,flight_class,flight_deal_provider,original_departure_date,first_leg_info,flght_times,flight_stations,flight_durations,flight_carriers,flight_layover_duration,flight_layover_locations,flight_quality_details,class_features
www.kayak.com,"Finnair, Ryanair UK",3:35 pm–8:05 pm,1 stop,CPH,6h 30m,HEL-MAN,0,0,$183,Economy Superlight,Kiwi.com, Dec 18,Finnair 955  ·  Operated by Norra,"['3:35 pm', '4:15 pm', '7:05 pm', '8:05 pm']","['Helsinki-Vantaa (HEL)', 'Kastrup Copenhagen (CPH)', 'Kastrup Copenhagen (CPH)', 'Manchester (MAN)']","['1h 40m', '2h 00m']","['Finnair 955  ·  Operated by Norra', 'Ryanair UK 6968']",['2h 50m'],['Change planes in Copenhagen (CPH)'],"[['Embraer 190 (Narrow-body jet)', '31"" seat pitch', 'Preorder light meal (fee)'], ['Boeing 737-800 (winglets) (Narrow-body jet)', '30"" seat pitch', 'Light meal (fee)']]",['Finnair Economy']
www.kayak.com,"Scandinavian Airlines, Norwegian",11:05 am–4:10 pm,1 stop,OSL,7h 05m,HEL-MAN,0,0,$163,LowFare,mytrip.com, Dec 18,Scandinavian Airlines 2701,"['11:05 am', '11:40 am', '3:05 pm', '4:10 pm']","['Helsinki-Vantaa (HEL)', 'Oslo Gardermoen (OSL)', 'Oslo Gardermoen (OSL)', 'Manchester (MAN)']","['1h 35m', '2h 05m']","['Scandinavian Airlines 2701', 'Norwegian 1348']",['3h 25m'],['Change planes in Oslo (OSL)'],"[['Airbus A320neo (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Snacks (fee)'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch', 'Light meal (fee)']]",[]
www.kayak.com,"Norwegian, Scandinavian Airlines",2:10 pm–7:50 pm,1 stop,OSL,7h 40m,HEL-MAN,0,0,$160,LowFare,mytrip.com, Dec 18,Norwegian 1191,"['2:10 pm', '2:45 pm', '6:35 pm', '7:50 pm']","['Helsinki-Vantaa (HEL)', 'Oslo Gardermoen (OSL)', 'Oslo Gardermoen (OSL)', 'Manchester (MAN)']","['1h 35m', '2h 15m']","['Norwegian 1191', 'Scandinavian Airlines 4610']",['3h 50m'],['Change planes in Oslo (OSL)'],"[['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch', 'Light meal (fee)'], ['Airbus A320neo (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Snacks (fee)']]",[]
www.kayak.com,"airBaltic, Ryanair",8:40 am–4:40 pm,1 stop,RIX,10h 00m,HEL-MAN,0,0,$129,Value,Kiwi.com, Dec 18,airBaltic 302,"['8:40 am', '9:40 am', '3:35 pm', '4:40 pm']","['Helsinki-Vantaa (HEL)', 'Riga Intl (RIX)', 'Riga Intl (RIX)', 'Manchester (MAN)']","['1h 00m', '3h 05m']","['airBaltic 302', 'Ryanair 4097']",['5h 55m'],['Change planes in Riga (RIX)'],"[['Airbus A220-300 (Narrow-body jet)', '30"" seat pitch', 'Light meal (fee)'], ['Boeing 737 MAX 8 (Narrow-body jet)', '28"" seat pitch', 'Light meal (fee)']]",[]
www.kayak.com,"Finnair, easyJet",7:35 am–1:30 pm,1 stop,CDG-ORY,7h 55m,HEL-MAN,0,0,$164,Economy Superlight,Kiwi.com, Dec 18,Finnair 1571,"['7:35 am', '9:45 am', '12:55 pm', '1:30 pm']","['Helsinki-Vantaa (HEL)', 'Paris Charles de Gaulle (CDG)', 'Paris Orly (ORY)', 'Manchester (MAN)']","['3h 10m', '1h 35m']","['Finnair 1571', 'easyJet 2298']",['3h 10m'],['Change airport from Paris Charles de Gaulle to Paris Orly'],"[['Airbus A321 (sharklets) (Narrow-body jet)', 'Streaming capable Wi-Fi (fee)', '31"" seat pitch', 'Preorder light meal (fee)'], ['Airbus A320-100/200 (Narrow-body jet)', '29"" seat pitch', 'Light meal (fee)']]",['Finnair Economy']
www.kayak.com,KLM,7:00 am–12:55 pm,1 stop,AMS,7h 55m,HEL-MAN,1,0,$201,Light,KLM, Dec 18,KLM 1164,"['7:00 am', '8:45 am', '12:35 pm', '12:55 pm']","['Helsinki-Vantaa (HEL)', 'Amsterdam Schiphol (AMS)', 'Amsterdam Schiphol (AMS)', 'Manchester (MAN)']","['2h 45m', '1h 20m']","['KLM 1164', 'KLM 1075  ·  Operated by Transavia Aircraft']",['3h 50m'],['Change planes in Amsterdam (AMS)'],"[['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'Chance of USB outlet', '30"" seat pitch', 'Light meal provided'], ['Boeing 737-700 (winglets) (Narrow-body jet)', '29"" seat pitch', 'Snacks provided']]","['Power at your seat', 'Delicious, complimentary food', 'Delicious, complimentary food', 'Europe Economy Class', 'Committed to a sustainable future', 'Delightful, complimentary refreshments ']"
www.kayak.com,"Finnair, Norwegian",4:00 pm–8:15 pm,2 stops,"OSL, SVG",6h 15m,HEL-MAN,0,0,$165,Economy Superlight,Kiwi.com, Dec 18,Finnair 915  ·  Operated by Norra,"['4:00 pm', '4:35 pm', '6:10 pm', '7:05 pm', '7:40 pm', '8:15 pm']","['Helsinki-Vantaa (HEL)', 'Oslo Gardermoen (OSL)', 'Oslo Gardermoen (OSL)', 'Stavanger Sola (SVG)', 'Stavanger Sola (SVG)', 'Manchester (MAN)']","['1h 35m', '0h 55m', '1h 35m']","['Finnair 915  ·  Operated by Norra', 'Norwegian 544', 'Norwegian 1326']","['1h 35m', '0h 35m']","['Change planes in Oslo (OSL)', 'Change planes in Stavanger (SVG)']","[['Embraer 190 (Narrow-body jet)', '31"" seat pitch', 'Preorder light meal (fee)'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch', 'Light meal (fee)']]","['Finnair Economy', 'Standard Economy seat ', 'Standard Economy layout', 'Streaming entertainment ']"
www.kayak.com,Lufthansa,5:40 pm–10:15 pm,1 stop,FRA,6h 35m,HEL-MAN,1,0,$318,Economy Light,eDreams, Dec 18,Lufthansa 851,"['5:40 pm', '7:30 pm', '9:30 pm', '10:15 pm']","['Helsinki-Vantaa (HEL)', 'Frankfurt am Main (FRA)', 'Frankfurt am Main (FRA)', 'Manchester (MAN)']","['2h 50m', '1h 45m']","['Lufthansa 851', 'Lufthansa 948']",['2h 00m'],['Change planes in Frankfurt am Main (FRA)'],"[['Airbus A320-100/200 (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '30"" seat pitch', 'Light meal (fee)'], ['Airbus A320 (sharklets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '30"" seat pitch', 'Light meal (fee)']]","['Take action with Compensaid', 'Economy Class', 'More choice with Onboard Delights', 'Quality on every route', 'More choice with Onboard Delights']"
www.kayak.com,"Norwegian, Scandinavian Airlines",2:10 pm–8:15 pm,2 stops,"OSL, BGO",8h 05m,HEL-MAN,0,0,$132,LowFare,Kiwi.com, Dec 18,Norwegian 1191,"['2:10 pm', '2:45 pm', '5:00 pm', '6:00 pm', '7:30 pm', '8:15 pm']","['Helsinki-Vantaa (HEL)', 'Oslo Gardermoen (OSL)', 'Oslo Gardermoen (OSL)', 'Bergen Flesland (BGO)', 'Bergen Flesland (BGO)', 'Manchester (MAN)']","['1h 35m', '1h 00m', '1h 45m']","['Norwegian 1191', 'Scandinavian Airlines 277', 'Scandinavian Airlines 4605  ·  Operated by SAS Link']","['2h 15m', '1h 30m']","['Change planes in Oslo (OSL)', 'Change planes in Bergen (BGO)']","[['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch', 'Light meal (fee)'], ['Airbus A320neo (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Snacks (fee)'], ['Embraer 195 (Narrow-body jet)', '31"" seat pitch', 'Snacks (fee)']]",[]
www.kayak.com,British Airways,2:00 pm–6:35 pm,1 stop,LHR,6h 35m,HEL-MAN,1,1,$329,Standard Economy,Orbitz, Dec 18,British Airways 6079  ·  Operated by Finnair,"['2:00 pm', '3:15 pm', '5:30 pm', '6:35 pm']","['Helsinki-Vantaa (HEL)', 'London Heathrow (LHR)', 'London Heathrow (LHR)', 'Manchester (MAN)']","['3h 15m', '1h 05m']","['British Airways 6079  ·  Operated by Finnair', 'British Airways 1398']",['2h 15m'],['Change planes in London (LHR)'],"[['Airbus A350-900 (Wide-body jet)', 'Streaming capable Wi-Fi (fee)', '31"" seat pitch', 'Preorder light meal (fee)'], ['Airbus A319 (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'Chance of USB outlet', '29"" seat pitch', 'Light meal (fee)']]",['British Airways Economy']
